linje,timestamp,raw_soc_ticks,display_soc_pct,max_current_a,max_power_w,abort_flag
154,23:57:50.847:112.00,872,99.5,1.2,5829,0
279,23:57:50.944:1101.00,872,99.5,1.2,5832,0
655,23:57:51.244:975.00,872,99.5,1.2,5826,0
1552,23:57:51.944:1003.00,872,99.5,1.2,5838,0
1930,23:57:52.245:1037.00,872,99.5,1.2,5841,0
2055,23:57:52.343:1015.00,872,99.5,1.2,5844,0
2957,23:57:53.45:946.00,872,99.5,1.2,5835,0
3622,23:57:53.556:84.00,872,99.5,1.2,5823,0
3855,23:57:53.745:1134.00,872,99.5,1.2,5820,0
3981,23:57:53.847:1103.00,872,99.5,1.2,5817,0
5764,23:57:55.244:154.00,872,99.5,1.2,5814,0
5809,23:57:55.286:1009.00,872,99.5,1.1,5814,0
5888,23:57:55.346:1062.00,872,99.5,1.1,5760,0
6018,23:57:55.444:1100.00,872,99.5,1.1,5724,0
6177,23:57:55.556:80.00,872,99.5,1.1,5709,0
6287,23:57:55.647:1074.00,872,99.5,1.1,5712,0
6412,23:57:55.744:1097.00,872,99.5,1.1,5727,0
6539,23:57:55.847:226.00,872,99.5,1.1,5751,0
6666,23:57:55.946:114.00,872,99.5,1.1,5772,0
6791,23:57:56.45:1107.00,872,99.5,1.1,5790,0
6916,23:57:56.145:1106.00,872,99.5,1.1,5802,0
7042,23:57:56.244:1071.00,872,99.5,1.1,5811,0
7167,23:57:56.347:1100.00,872,99.5,1.1,5823,0
7297,23:57:56.444:1031.00,872,99.5,1.1,5826,0
7456,23:57:56.557:120.00,872,99.5,1.1,5820,0
7816,23:57:56.846:1221.00,872,99.5,1.1,5817,0
11285,23:57:59.556:111.00,872,99.5,1.1,5808,0
11395,23:57:59.644:1102.00,872,99.5,1.1,5805,0
15116,23:58:2.557:142.00,872,99.5,1.1,5829,0
15227,23:58:2.645:53.00,872,99.5,1.1,5832,0
21204,23:58:7.345:120.00,872,99.5,1.1,5838,0
21333,23:58:7.445:1223.00,872,99.5,1.1,5844,0
21729,23:58:7.746:1225.00,872,99.5,1.1,5841,0
21982,23:58:7.946:59.00,872,99.5,1.1,5835,0
23010,23:58:8.745:109.00,872,99.5,1.1,5778,0
23140,23:58:8.848:166.00,872,99.5,1.1,5775,0
23263,23:58:8.946:1284.00,872,99.5,1.1,5781,0
23390,23:58:9.47:1254.00,872,99.5,1.1,5787,0
23641,23:58:9.246:1260.00,872,99.5,1.1,5796,0
23767,23:58:9.348:58.00,872,99.5,1.1,5799,0
24795,23:58:10.145:47.00,872,99.5,1.1,5847,0
40659,23:58:22.559:79.00,872,99.5,1.1,5850,0
45107,23:58:26.47:57.00,872,99.5,1.1,5853,0
45231,23:58:26.147:201.00,872,99.5,1.1,5856,0
47908,23:58:28.248:147.00,872,99.5,1.1,5793,0
51615,23:58:31.149:84.00,872,99.5,1.1,5859,0
53543,23:58:32.648:46.00,872,99.5,1.1,5784,0
54713,23:58:33.560:80.00,872,99.5,1.1,5865,0
54823,23:58:33.648:116.00,872,99.5,1.1,5862,0
61582,23:58:38.950:112.00,872,99.5,1.1,5868,0
67324,23:58:43.451:76.00,872,99.5,1.1,5871,0
72220,23:58:47.289:178.00,872,99.5,1.0,5847,0
72301,23:58:47.350:124.00,872,99.5,1.0,5811,0
72428,23:58:47.449:409.00,872,99.5,1.0,5802,0
72588,23:58:47.560:142.00,872,99.5,1.0,5805,0
72824,23:58:47.750:71.00,872,99.5,1.0,5823,0
72949,23:58:47.850:73.00,872,99.5,1.0,5832,0
73075,23:58:47.949:40.00,872,99.5,1.0,5841,0
73328,23:58:48.150:41.00,872,99.5,1.0,5853,0
73454,23:58:48.250:90.00,872,99.5,1.0,5856,0
75137,23:58:49.560:210.00,872,99.5,1.0,5826,0
76126,23:58:50.351:107.00,872,99.5,1.0,5829,0
76412,23:58:50.562:251.00,872,99.5,1.0,5838,0
76899,23:58:50.951:46.00,872,99.5,1.0,5844,0
77531,23:58:51.451:78.00,872,99.5,1.0,5850,0
78680,23:58:52.351:84.00,872,99.5,1.0,5835,0
80728,23:58:53.950:52.00,872,99.5,1.0,5862,0
81226,23:58:54.351:436.00,872,99.5,1.0,5859,0
87894,23:58:59.561:240.00,872,99.5,1.0,5865,0
100295,23:59:9.291:143.00,872,99.5,0.0,5859,0
100377,23:59:9.352:42.00,872,100.0,0.0,5859,0
100379,23:59:9.352:242.00,872,100.0,0.0,5862,0
100506,23:59:9.453:85.00,872,100.0,0.0,5865,0
101061,23:59:9.851:113.00,872,100.0,0.0,5856,0
101338,23:59:10.51:52.00,872,100.0,0.0,5868,0
101482,23:59:10.151:141.00,872,100.0,0.0,5853,0
101624,23:59:10.252:77.00,872,100.0,0.0,5838,0
101675,23:59:10.292:109.00,872,100.0,0.0,5838,1
101762,23:59:10.351:111.00,872,100.0,0.0,5829,1
101904,23:59:10.450:90.00,872,100.0,0.0,5799,1
102075,23:59:10.564:242.00,872,100.0,0.0,5790,1
102194,23:59:10.651:125.00,872,100.0,0.0,5796,1
102337,23:59:10.752:110.00,872,100.0,0.0,5814,1
102470,23:59:10.852:80.00,872,100.0,0.0,5835,1
102608,23:59:10.951:204.00,872,100.0,0.0,5865,1
102746,23:59:11.53:129.00,872,100.0,0.0,5892,1
102883,23:59:11.152:47.00,872,100.0,0.0,5916,1
103020,23:59:11.251:39.00,872,100.0,0.0,5910,1
